Episode,Steps,Total Reward,Discounted Reward,Expected Q
390,2001,-66735.09642685803,-11417.785886184325,-756.8582763671875
391,2001,-67976.23504507526,-11007.120921097066,-771.2378540039062
393,2001,-66239.57082293584,-11187.228009210983,-753.8718872070312
395,2001,-67006.22976054529,-10911.453895870922,-751.1472778320312
396,2001,-68029.96132253365,-11465.236931995858,-761.5297241210938
397,2001,-67667.83835305386,-11688.45472268025,-756.2040405273438
398,2001,-68862.14594463051,-11362.51254477985,-759.5962524414062
411,2001,-67386.85470532063,-11221.718382577752,-769.7027587890625
413,2001,-67890.80377913432,-11250.251786741828,-775.2559204101562
408,2001,-67147.9026419967,-11098.98358452234,-772.2100219726562
405,1981,-66419.74650098856,-11193.57955978539,-771.7532958984375
399,2001,-68274.06717394364,-11391.770061500221,-778.3272705078125
400,2001,-68705.2882639854,-11348.470869275823,-782.9048461914062
401,2001,-68020.79687144997,-11242.716827715583,-776.7103271484375
402,2001,-67938.20035057259,-11449.00693016331,-774.4956665039062
403,2001,-70651.69868126618,-11374.693732877155,-776.6082153320312
404,2001,-67812.84694618611,-11080.545247486909,-777.6005249023438
406,2001,-66533.47264733828,-10666.794084268697,-769.9735107421875
407,2001,-67614.35904140316,-10874.332080635359,-782.384033203125
409,2001,-66889.55888028,-11141.982540651079,-780.439453125
410,2001,-69349.82507830198,-11551.049428186736,-780.610595703125
412,2001,-67420.48210980381,-11063.254498126638,-777.3408813476562
414,2001,-66622.42026695708,-10566.422944089989,-778.46484375
415,2001,-66056.59059995062,-10978.879471891614,-782.7039794921875
416,2001,-67459.69405350176,-11624.929680014073,-780.3013916015625
417,2001,-69752.47813149581,-11589.437597818549,-774.7923583984375
430,2001,-68301.00640720218,-11571.734635868197,-785.47705078125
432,2001,-67732.58289315217,-11489.506042921794,-787.8001708984375
427,2001,-67958.27517376261,-11291.655934447765,-792.9833374023438
424,2001,-66379.93137769293,-10874.886236380431,-792.926513671875
418,2001,-66768.00874346757,-11787.606263648673,-790.866943359375
419,2001,-65377.588282472134,-11193.475401667878,-783.5619506835938
420,2001,-69464.51587564859,-11581.561874702185,-806.3784790039062
421,2001,-66066.89565654797,-11252.99922090961,-788.9473266601562
422,2001,-66994.34865586228,-11814.464109133001,-800.5166625976562
423,2001,-66619.91069316994,-11116.553208046289,-785.977294921875
