Episode,Steps,Total Reward,Discounted Reward,Expected Q
159,519,-6826.3245952728685,-3396.8007369988773,-76.27342224121094
182,657,-8699.416477083452,-3713.656705041876,-108.8680419921875
180,598,-7856.37642378963,-3575.6106310211862,-93.16460418701172
157,791,-10514.533705498608,-4063.4379788564606,-96.81896209716797
186,584,-7635.305945095034,-3608.5167579105646,-79.8013687133789
175,651,-8528.981376590807,-3776.998134555833,-79.51738739013672
181,559,-7432.4248448244625,-3578.0579976494278,-91.8749771118164
183,748,-9655.774187034798,-3770.3605490719433,-78.25127410888672
204,649,-8522.091492413549,-3721.0414591924664,-77.77689361572266
171,608,-7924.920335903785,-3703.1456442426734,-92.462890625
188,580,-7538.1114811097505,-3591.6571545399456,-71.13114166259766
173,568,-7462.139927221667,-3587.8378913064566,-75.14974212646484
203,648,-8277.231199705655,-3686.497954847226,-82.76824951171875
208,522,-6587.95059831026,-3344.9959500407313,-66.80786895751953
201,485,-6119.755534015355,-3190.7841440430843,-72.25650787353516
206,579,-7271.462139715391,-3440.9664185062247,-50.715763092041016
174,608,-7775.250165431135,-3587.114751884854,-68.23519897460938
196,622,-7950.850712213966,-3675.48219840599,-76.14236450195312
179,685,-9029.698618737148,-3774.055986773243,-94.52921295166016
199,536,-6992.625109063957,-3525.8459615327642,-85.82971954345703
194,488,-5861.031986901694,-3040.224029729687,-93.09835052490234
191,722,-9520.902179458559,-3901.3996674681675,-72.72711944580078
178,667,-8547.13771694024,-3651.9322271486967,-71.88510131835938
176,564,-7145.193046968741,-3417.643766447475,-84.03388977050781
205,567,-7201.030426319044,-3460.7246941232247,-122.31486511230469
200,555,-6952.945237456162,-3287.778586326052,-75.51920318603516
223,600,-7637.504764671101,-3568.6587400249828,-65.75601196289062
190,578,-7277.744614581969,-3419.508838954962,-119.15824890136719
192,531,-6849.144842551227,-3477.961346436043,-91.17417907714844
202,658,-8603.107007480121,-3641.130688060043,-110.12110137939453
207,686,-8907.591346507268,-3675.701880652784,-77.8553466796875
222,613,-8023.121534628934,-3668.7850229287465,-107.7935562133789
225,508,-6479.39762756858,-3282.6349409651198,-75.82450103759766
227,722,-9724.522296331528,-4032.161590491605,-83.2413101196289
220,680,-8855.37287453114,-3693.084351564263,-83.27881622314453
218,611,-8076.104076612789,-3570.423703588483,-88.2327880859375
193,674,-8793.430478312916,-3628.448441845461,-94.75379180908203
195,596,-7618.1138571756555,-3495.6061987819767,-89.38551330566406
215,718,-9468.55177140863,-3835.985697027246,-87.7039794921875
197,649,-8470.619963666348,-3593.9053512592977,-90.9245376586914
198,706,-9268.032621356833,-3855.731862438616,-86.4483413696289
242,565,-7368.601922601357,-3528.5817735798782,-82.80500030517578
219,677,-9211.989288530081,-3948.4073280210105,-106.38581848144531
226,484,-6264.589966365472,-3248.425812840861,-127.76932525634766
221,558,-7175.068402986983,-3453.7882737195196,-62.57338333129883
210,772,-9873.565412029962,-3808.6205273003,-79.71968078613281
224,741,-10203.755866819316,-4005.808501795551,-96.44429016113281
213,848,-11249.142673431152,-4100.88758170588,-75.69505310058594
209,717,-9296.601625130052,-3789.374073154396,-75.54633331298828
241,564,-7145.060000454719,-3436.726539805728,-89.63150787353516
211,759,-10033.713158093433,-3924.8054845492766,-100.72974395751953
237,481,-5987.144271840206,-3180.0848022195637,-95.21294403076172
239,530,-6649.338144970356,-3362.035342071413,-90.28186798095703
214,482,-5856.120352699252,-3058.0851071782618,-99.68547821044922
244,727,-9394.924550844988,-3822.223751821072,-88.03092956542969
216,563,-7161.789590894878,-3490.3842627841436,-89.37653350830078
243,479,-5864.908261527201,-3070.5313505098798,-105.51329803466797
232,465,-5984.150138419739,-3175.022844799092,-84.27446746826172
212,704,-9036.435867433993,-3727.064059969892,-93.15592193603516
217,625,-8355.44960501712,-3694.805734578292,-87.63501739501953
