Episode,Steps,Total Reward,Discounted Reward,Expected Q
230,2001,-66811.58667464457,-10853.798690191277,-639.7155151367188
231,2001,-67737.62490508445,-11042.091812866549,-635.9387817382812
232,2001,-67768.60178370883,-11070.595410118936,-631.7476806640625
233,2001,-69344.75964150722,-11382.999663763765,-636.401123046875
234,2001,-68098.53924361529,-11410.199351512792,-633.75390625
236,2001,-68165.98138362599,-10790.64021397243,-647.5362548828125
237,2001,-66605.29683557352,-10775.825405702828,-638.2955932617188
238,2001,-66301.66063130737,-10852.368755516463,-638.2901611328125
239,2001,-67446.47077088407,-10663.542359802328,-634.7169189453125
240,2001,-68380.77110807074,-11023.953634582957,-635.2861328125
241,2001,-66249.2762419692,-10842.813338251892,-634.1073608398438
242,2001,-65814.60046418222,-11269.517574642736,-635.6231079101562
243,2001,-65862.16287299484,-10671.836458996022,-639.4769287109375
244,2001,-65656.37372830347,-11167.42293163597,-642.7058715820312
245,2001,-67709.08340725278,-10782.335884205033,-632.9962158203125
246,2001,-67871.49664502377,-11298.94683993375,-651.440185546875
260,1356,-45822.61221368298,-10836.698892865299,-667.8148803710938
254,2001,-66513.33619863738,-10723.560968248388,-669.290283203125
247,2001,-66975.38775639764,-10523.635998562655,-665.8455810546875
248,2001,-66722.91852410784,-10780.574374397622,-666.8981323242188
249,2001,-67164.12097730958,-10744.787243310742,-673.4821166992188
250,2001,-65396.374361239155,-10563.494228159734,-665.041748046875
251,2001,-64113.23773294316,-10572.633375492114,-666.2470703125
252,2001,-67147.53393279634,-10634.88381097802,-671.0596313476562
253,2001,-66907.66435148843,-10557.456391227239,-671.672607421875
255,2001,-64772.462321545696,-10634.273545823007,-667.5758666992188
256,2001,-67597.60632863133,-10719.479600162018,-671.9005737304688
257,2001,-65856.97985425539,-10662.3152288882,-670.7157592773438
258,2001,-67500.96033461361,-10930.871745238059,-667.3841552734375
259,2001,-66010.02091256359,-10585.293075985168,-677.9494018554688
261,2001,-66404.09866819635,-10745.605086948752,-672.031982421875
262,2001,-67868.83809414369,-11178.475483052884,-669.4806518554688
263,2001,-66232.94261271427,-10781.429536416223,-663.984130859375
264,2001,-67535.48139525318,-11295.399158120877,-674.2132568359375
265,2001,-66842.07252223564,-10593.157308903352,-671.4620971679688
279,2001,-67263.81003041116,-10835.071497965348,-688.1231689453125
273,2001,-66126.21425543573,-11037.340214776304,-702.0799560546875
266,2001,-65308.27834414102,-10798.34352158216,-707.4788208007812
267,2001,-66159.88236864298,-10837.454540944926,-700.2393798828125
268,2001,-66394.9546085915,-10748.730009265499,-706.0809936523438
269,2001,-65672.18322331193,-10660.425945687171,-698.6212158203125
270,2001,-66519.23862711784,-11130.164638408023,-705.1771850585938
271,2001,-66614.04542684229,-10975.178600246147,-696.1433715820312
272,2001,-66642.09903773475,-11033.865760874125,-700.7303466796875
274,2001,-67571.26309074486,-11008.967373754473,-702.3585815429688
275,2001,-66614.33423727355,-11038.524032144169,-704.23876953125
276,2001,-66750.94295830009,-11267.235434720738,-713.6338500976562
277,2001,-65861.53098905957,-11005.014813196005,-706.6813354492188
278,2001,-66928.85418719778,-10913.29526668214,-703.700439453125
280,2001,-65933.92844181825,-11271.220948836548,-705.8179931640625
281,2001,-66800.35033226068,-11018.093452094765,-699.1301879882812
282,2001,-66766.09312748615,-11190.157544198499,-703.07958984375
283,2001,-69349.75187241059,-11330.567701401866,-705.7935180664062
284,2001,-66150.33393242529,-11086.20584288698,-704.724365234375
287,939,-30657.345490257092,-10013.084236016599,-739.8460083007812
298,2001,-67349.92314575917,-10703.800332712764,-721.8885498046875
292,2001,-66841.33103172439,-11125.265727843282,-732.237548828125
285,2001,-67017.5148607672,-11148.863772739134,-736.031494140625
