Episode,Step,Reward,Discounted,Losses
249,637,-1138.1639552600682,15.824972474350783,"{'critic1_loss': 27.60082244873047, 'critic2_loss': 24.814407348632812, 'actor_loss': 53.74818420410156}"
250,622,-1149.7101992331445,15.403132903708054,"{'critic1_loss': 25.980640411376953, 'critic2_loss': 27.504528045654297, 'actor_loss': 56.29361343383789}"
251,778,-1451.4612468071282,12.042279500133631,"{'critic1_loss': 11.544866561889648, 'critic2_loss': 14.739410400390625, 'actor_loss': 51.5339469909668}"
252,680,-1375.9109824188054,9.657325790440934,"{'critic1_loss': 20.741363525390625, 'critic2_loss': 15.320417404174805, 'actor_loss': 51.805511474609375}"
253,602,-1119.841390851885,17.019204736563907,"{'critic1_loss': 44.715782165527344, 'critic2_loss': 40.64043426513672, 'actor_loss': 52.65856170654297}"
254,766,-1442.5619225092232,15.044024560749154,"{'critic1_loss': 48.147544860839844, 'critic2_loss': 44.68757247924805, 'actor_loss': 50.84683609008789}"
255,584,-724.2155153341591,0.4756880478650328,"{'critic1_loss': 29.33975601196289, 'critic2_loss': 30.926639556884766, 'actor_loss': 55.02571105957031}"
256,585,-1123.2760068811476,6.937506093263199,"{'critic1_loss': 25.24649429321289, 'critic2_loss': 17.287792205810547, 'actor_loss': 51.716773986816406}"
257,775,-1531.2566509209573,15.831311513120953,"{'critic1_loss': 25.725479125976562, 'critic2_loss': 22.67523193359375, 'actor_loss': 54.84846496582031}"
258,676,-1380.020704779774,15.736864356207818,"{'critic1_loss': 16.010339736938477, 'critic2_loss': 16.010639190673828, 'actor_loss': 52.990943908691406}"
259,613,-1131.1398357860744,11.929831531613683,"{'critic1_loss': 25.377975463867188, 'critic2_loss': 24.552597045898438, 'actor_loss': 52.16480255126953}"
260,689,-1354.6418623365462,13.810360627791766,"{'critic1_loss': 31.03273582458496, 'critic2_loss': 30.013343811035156, 'actor_loss': 53.81947326660156}"
261,649,-1259.0213516838849,19.150636434493165,"{'critic1_loss': 25.158687591552734, 'critic2_loss': 23.488433837890625, 'actor_loss': 51.398048400878906}"
262,720,-1031.2141912020743,5.47054952123425,"{'critic1_loss': 19.31961441040039, 'critic2_loss': 19.328433990478516, 'actor_loss': 54.5987548828125}"
263,644,-1135.309418771416,10.860227721946215,"{'critic1_loss': 17.866859436035156, 'critic2_loss': 17.933815002441406, 'actor_loss': 53.476905822753906}"
264,570,-653.5576794631779,21.312206702832853,"{'critic1_loss': 23.4080810546875, 'critic2_loss': 19.047550201416016, 'actor_loss': 53.04297637939453}"
